DateTime,Name,Country,Volatility,Actual,Previous,Consensus
12/16/2015 09:30:00,Average Earnings excluding Bonus (3Mo/Yr),United Kingdom,2,2.000,2.500,2.300
12/16/2015 09:30:00,Claimant Count Change,United Kingdom,2,3.900,3.300,1.500
12/16/2015 09:30:00,ILO Unemployment Rate (3M),United Kingdom,2,5.200,5.300,5.300
12/16/2015 14:00:00,SNB Quarterly Bulletin,Switzerland,2,,,
12/16/2015 19:00:00,FOMC Economic Projections,United States,2,,,
12/16/2015 19:30:00,Fed's Monetary Policy Statement and press conference,United States,3,,,
12/17/2015 09:00:00,Economic Bulletin,European Monetary Union,2,,,
12/17/2015 10:00:00,Labour cost,European Monetary Union,2,1.100,1.600,
12/17/2015 13:30:00,Continuing Jobless Claims,United States,1,2.238,2.243,2.220
12/17/2015 13:30:00,Initial Jobless Claims,United States,1,271.000,282.000,275.000
12/18/2015 18:00:00,Fed's Lacker speech,United States,1,,,
12/21/2015 11:00:00,German Buba Monthly Report,Germany,1,,,
12/21/2015 16:30:00,3-Month Bill Auction,United States,1,0.250,0.280,
12/21/2015 16:30:00,6-Month Bill Auction,United States,1,0.515,0.585,
12/22/2015 16:30:00,4-Week Bill Auction,United States,1,0.195,0.205,
12/24/2015 13:30:00,Continuing Jobless Claims,United States,2,2.195,2.238,2.210
12/24/2015 13:30:00,Initial Jobless Claims,United States,2,267.000,271.000,270.000
12/28/2015 16:30:00,3-Month Bill Auction,United States,1,0.260,0.250,
12/28/2015 16:30:00,6-Month Bill Auction,United States,1,0.550,0.515,
12/28/2015 18:00:00,2-Year Note Auction,United States,1,1.056,0.948,
12/29/2015 16:30:00,4-Week Bill Auction,United States,1,0.170,0.195,
12/29/2015 18:00:00,5-Year Note Auction,United States,1,1.785,1.670,
12/30/2015 10:00:00,10-y Bond Auction,Italy,1,1.590,1.360,
12/30/2015 10:00:00,5-y Bond Auction,Italy,1,0.570,0.510,
12/30/2015 18:00:00,7-Year Note Auction,United States,1,2.161,2.013,
12/31/2015 13:30:00,Continuing Jobless Claims,United States,2,2.198,2.195,2.201
12/31/2015 13:30:00,Initial Jobless Claims,United States,2,287.000,267.000,270.000
01/01/2016 13:30:00,ECB President Draghi's Speech,European Monetary Union,3,,,
01/04/2016 16:30:00,3-Month Bill Auction,United States,1,0.215,0.260,
01/04/2016 16:30:00,6-Month Bill Auction,United States,1,0.500,0.550,
01/05/2016 08:55:00,Unemployment Rate s.a.,Germany,2,6.300,6.300,
01/05/2016 08:55:00,Unemployment Change,Germany,2,-14.000,-13.000,
01/05/2016 10:00:00,10-y Bond Auction,United Kingdom,1,1.880,1.940,
01/05/2016 12:00:00,GDT Price Index,New Zealand,1,-1.600,1.900,
01/05/2016 16:30:00,52-Week Bill auction,United States,1,0.670,0.740,
01/05/2016 16:30:00,4-Week Bill Auction,United States,1,0.200,0.170,
01/06/2016 13:15:00,ADP Employment Change,United States,2,257.000,217.000,192.000
01/06/2016 19:00:00,FOMC Minutes,United States,3,,,
01/07/2016 08:00:00,Foreign Currency Reserves,Switzerland,1,560.000,563.000,
01/07/2016 09:00:00,Unemployment,Italy,2,11.300,11.500,11.500
01/07/2016 10:00:00,Unemployment Rate,European Monetary Union,2,10.500,10.700,10.700
01/07/2016 10:00:00,10-y Bond Auction,France,1,0.860,0.500,
01/07/2016 12:30:00,Challenger Job Cuts (YoY),United States,1,23.622,30.953,
01/07/2016 13:30:00,Initial Jobless Claims,United States,2,277.000,287.000,275.000
01/07/2016 13:30:00,Continuing Jobless Claims,United States,2,2.230,2.198,2.193
01/08/2016 06:45:00,Unemployment Rate s.a (MoM),Switzerland,3,3.400,3.400,3.400
01/08/2016 13:30:00,Unemployment Rate,United States,3,5.000,5.000,5.000
01/08/2016 13:30:00,Labor Force Participation Rate,United States,2,62.600,62.500,
01/08/2016 13:30:00,Average Hourly Earnings (MoM),United States,1,0.000,0.200,0.200
01/08/2016 13:30:00,Average Weekly Hours,United States,2,34.500,34.500,34.500
01/08/2016 13:30:00,Average Hourly Earnings (YoY),United States,1,2.500,2.300,
01/08/2016 13:30:00,Nonfarm Payrolls,United States,3,292.000,211.000,200.000
01/11/2016 15:00:00,Labor Market Conditions Index,United States,2,2.900,0.500,
01/11/2016 16:30:00,3-Month Bill Auction,United States,1,0.215,0.215,
01/11/2016 16:30:00,6-Month Bill Auction,United States,1,0.470,0.500,
01/11/2016 17:40:00,Fed's Lockhart speech,United States,1,,,
01/12/2016 10:30:00,Fed's Stanley Fischer speech,United States,2,,,
01/12/2016 14:15:00,BOE's Governor Carney speech,United Kingdom,3,,,
01/12/2016 15:00:00,JOLTS Job Openings,United States,1,5.431,5.383,5.410
01/12/2016 16:30:00,4-Week Bill Auction,United States,1,0.220,0.200,
01/12/2016 18:00:00,3-Year Note Auction,United States,1,1.174,1.255,
01/12/2016 20:15:00,Fed's Lacker speech,United States,1,,,
01/13/2016 02:00:00,President Obama speech,United States,2,,,
01/13/2016 08:00:00,Non-monetary policy's ECB meeting,European Monetary Union,3,,,
01/13/2016 11:22:16,10-y Bond Auction,Germany,2,0.590,0.490,
01/13/2016 13:00:00,Federal Reserve Bank of Boston President Rosengren Speech,United States,1,,,
01/13/2016 18:00:00,10-Year Note Auction,United States,2,2.090,2.233,
01/13/2016 18:30:00,Fed's Evans Speech,United States,1,,,
01/13/2016 19:00:00,Fed's Beige Book,United States,2,,,
01/14/2016 12:00:00,BoE Asset Purchase Facility,United Kingdom,3,375.000,375.000,375.000
01/14/2016 12:00:00,Monetary Policy Summary,United Kingdom,3,,,
01/14/2016 12:00:00,BOE MPC Vote Cut,United Kingdom,3,0.000,0.000,0.000
01/14/2016 12:00:00,BOE MPC Vote Hike,United Kingdom,3,1.000,1.000,1.000
01/14/2016 12:00:00,Bank of England Minutes,United Kingdom,2,,,
01/14/2016 12:00:00,BOE MPC Vote Unchanged,United Kingdom,3,8.000,8.000,8.000
01/14/2016 12:30:00,ECB Monetary Policy Meeting Accounts,European Monetary Union,3,,,
01/14/2016 13:00:00,Eurogroup meeting,European Monetary Union,2,,,
01/14/2016 13:30:00,Continuing Jobless Claims,United States,2,2.263,2.230,2.215
01/14/2016 13:30:00,Initial Jobless Claims,United States,2,284.000,277.000,275.000
01/14/2016 13:30:00,Fed's Bullard speech,United States,1,,,
01/14/2016 18:00:00,30-Year Bond Auction,United States,1,2.905,2.978,
01/15/2016 09:30:00,BOE Credit Conditions Survey,United Kingdom,1,,,
01/15/2016 15:00:00,EcoFin Meeting,European Monetary Union,2,,,
01/19/2016 12:00:00,BOE's Governor Carney speech,United Kingdom,3,,,
01/19/2016 14:08:47,GDT Price Index,New Zealand,1,-1.400,-1.600,
01/19/2016 16:30:00,3-Month Bill Auction,United States,1,0.255,0.215,
01/19/2016 16:30:00,6-Month Bill Auction,United States,1,0.370,0.470,
01/20/2016 00:00:00,World Economic Forum - Davos,Switzerland,2,,,
01/20/2016 09:30:00,Claimant Count Change,United Kingdom,1,-4.300,3.900,2.500
01/20/2016 09:30:00,ILO Unemployment Rate (3M),United Kingdom,1,5.100,5.200,5.200
01/20/2016 09:30:00,Average Earnings excluding Bonus (3Mo/Yr),United Kingdom,1,1.900,2.000,1.800
01/20/2016 09:30:00,Average Earnings including Bonus (3Mo/Yr),United Kingdom,1,2.000,2.400,2.100
01/20/2016 09:30:00,Claimant Count Rate,United Kingdom,1,2.300,2.300,
